City,Population,01/04/2020,03/04/2020,05/04/2020,06/04/2020,07/04/2020,09/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,23/04/2020,24/04/2020,26/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,04/05/2020,05/05/2020,06/05/2020,08/05/2020,09/05/2020,10/05/2020,15/05/2020,18/05/2020
גני תקווה,18930,0,121.5,126.78,132.07,132.07,132.07,142.63,147.91,169.04,174.33,184.89,184.89,184.89,195.46,200.74,232.44,232.44,126.78,121.5,121.5,116.22,100.37,89.8,89.8,85,79,74,69, 53 , 42 
אור עקיבא,18893,0,15.88,15.88,15.88,15.88,26.46,26.46,31.76,31.76,31.76,31.76,37.05,37.05,37.05,37.05,15.88,15.88,5.29,0,0,0,0,0,0,0,0,0,0, 0 , 0 
כפר קרע,18820,0,10.63,10.63,10.63,10.63,10.63,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88,31.88,5.31,0,0,0,0,0,0,0,0,0,0, 0 , 0 
גבעת זאב,18510,0,75.63,81.04,81.04,81.04,91.84,118.85,124.26,124.26,151.27,172.88,183.68,189.09,189.09,189.09,210.7,253.92,172.88,178.28,178.28,167.48,129.66,86.44,86.44,76,70,70,70, 43 , 27 
אריאל,18251,0,21.92,21.92,27.4,27.4,27.4,32.87,38.35,43.83,49.31,60.27,60.27,65.75,65.75,65.75,60.27,60.27,38.35,0,0,0,0,0,0,0,0,0,0, 0 , 0 
ערערה-בנגב,17465,0,0,0,0,0,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,11.45,28.63,34.35,0,97.34,97.34,103.06,103.06,108.79,114.51,103,92,92,92, 92 , 74 
דאלית אל-כרמל,16993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   , -   , -   , -   , -   
חורה,16983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.89,17.66,111.88,388.62,406.29,482.84,582.94,712.48,724.25,730,765,765,771, 736 , 695 
כסיפה,16957,0,35.38,41.28,41.28,41.28,41.28,41.28,41.28,41.28,41.28,41.28,41.28,41.28,41.28,41.28,41.28,41.28,0,0,0,0,0,0,0,0,0,0,0, 0 , 0 
מסעודין אל-עזאזמה,16644,0,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,6.01,0,0,0,0,0,0,0,0,0,0, 0 , 0 
